tsne_1,tsne_2,label,name,type
-27.311373,2.6141343,0,Fc1ccc(C(F)(F)F)c2ccccc12,main
6.615209,-1.4066951,6,FC(F)C1(C(F)(F)F)CO1,main
-20.981333,2.021673,0,FC(c1cccc(C(F)(F)F)c1)C(F)(F)F,main
5.096733,-1.6421657,6,FC(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)C(F)(F)F,main
-22.521313,0.7823113,0,Cc1ccc(C(F)(F)F)cc1,main
-19.637033,4.4264774,0,Fc1c(F)c(F)c(-c2c(F)c(F)c(F)c(C(F)(F)F)c2F)c(F)c1F,main
-25.37188,2.343771,0,Fc1cccc(C(F)(F)F)c1F,main
-27.278572,3.9658747,0,Fc1cccc(F)c1C(F)(F)F,main
-24.35382,1.7561737,0,Fc1ccc(C(F)(F)F)c(F)c1,main
-23.499044,-1.228924,0,FCCOc1ccccc1F,main
-22.353666,-1.46048,0,FCCOc1cccc(F)c1,main
-21.516603,-1.7304919,0,FCCOc1ccc(F)cc1,main
-26.286283,0.0740218,0,COCc1c(F)c(F)c(F)c(F)c1F,main
9.684134,1.682048,4,COC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,main
14.73122,-1.4967628,2,FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,main
15.948824,2.3853128,2,FC(F)C(F)SC(F)(F)C(F)F,main
16.743166,3.5447543,2,FC(F)(F)CSCC(F)(F)F,main
5.257772,-3.9678013,6,FC(F)(F)C(F)(F)[C@@]1(F)C(F)(F)O[C@@](F)(C(F)(F)F)C1(F)F,main
5.5590587,-5.8261204,6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[C@@]1(F)C(F)(F)O[C@@](F)(C(F)(F)C(F)(F)F)C1(F)F,main
-19.918226,-0.6089926,0,FC(F)(F)COCc1ccccc1,main
16.209295,1.417816,2,FC(C(F)(F)F)C(F)(F)SCC(F)(F)F,main
10.459547,0.81978124,4,FC(F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,main
16.554785,3.0614882,2,FC(F)C(F)SC(F)(F)F,main
5.5339513,-3.282348,6,FC(F)(F)C1(F)OC(F)(F)C(F)(C(F)(F)F)C1(F)F,main
13.555334,2.4803507,4,FC(F)C(F)(F)SC(F)(F)F,main
15.99541,2.05139,2,FC(F)C(F)(F)SC(F)(F)C(F)F,main
16.88964,-0.4471478,2,C[Si](C)(CCC(F)(F)F)O[Si](C)(C)CCC(F)(F)F,main
10.644284,2.1257966,4,COC(C)(C(F)(F)F)C(F)(F)F,main
18.564743,3.5546033,2,FC(F)COCC(F)F,main
5.928592,-1.0665015,6,FC(F)(F)C1(C(F)(F)F)OC1(F)F,main
6.0352306,-2.3405404,6,FC1(F)SC(F)(F)C(F)(F)SC1(F)F,main
4.7352233,-3.2358272,6,FC(F)(F)C(C1OC(F)(F)C(F)(F)C1(F)F)(C(F)(F)F)C(F)(F)F,main
